h3_index,h3_resolution,hex_lat,hex_lon,expected_unit_count,max_p_any_unit,contributing_units
852d7287fffffff,5,44.9478,37.7385,0.001178,0.00091,11
852d7613fffffff,5,44.8857,36.3838,0.000971,0.000607,12
852d297bfffffff,5,44.7483,35.4585,0.000875,0.000367,10
851e4a47fffffff,5,46.0275,32.6393,0.003349,0.002079,10
852d624bfffffff,5,46.8726,38.0914,0.015174,0.001002,34
852d0d97fffffff,5,44.1884,36.5668,0.000747,0.000601,6
852d73c7fffffff,5,45.3207,38.7209,0.001084,0.000656,15
851e4dcffffffff,5,47.917,34.3942,0.005305,0.00081,19
852d2d03fffffff,5,45.2615,33.5284,0.001982,0.001114,10
852d74d3fffffff,5,45.7006,35.3172,0.001541,0.000299,17
852d4313fffffff,5,46.8221,42.2635,0.000385,0.000302,5
852d283bfffffff,5,44.3401,34.4816,0.001646,0.000872,6
851e4907fffffff,5,46.8385,35.6745,0.015675,0.003304,30
851e5977fffffff,5,45.1493,32.1459,0.000805,0.000507,5
851e493bfffffff,5,46.6959,35.7583,0.012373,0.002279,30
852d286ffffffff,5,44.0208,34.8661,0.000862,0.000481,6
852d7507fffffff,5,46.7574,37.1484,0.015403,0.001,34
852d548ffffffff,5,44.5551,39.3059,0.000827,0.000551,7
852d4453fffffff,5,46.8248,39.3053,0.002941,0.000522,28
852d7073fffffff,5,45.4608,37.8598,0.001371,0.000734,15
852d2ccffffffff,5,44.1897,32.3254,0.001035,0.000565,4
851e4d9bfffffff,5,48.2802,34.5881,0.003832,0.000623,23
851e4a7bfffffff,5,45.8852,32.7289,0.002383,0.001505,10
852d29affffffff,5,45.4421,35.2636,0.001164,0.00033,15
852d7393fffffff,5,45.6464,38.3537,0.001333,0.000599,15
852d7647fffffff,5,44.5628,36.7597,0.000938,0.000738,10
852d660bfffffff,5,47.5025,36.5176,0.056951,0.003886,37
852d55cffffffff,5,44.9155,40.2807,0.000918,0.000647,6
852d71b3fffffff,5,46.8373,38.3108,0.011196,0.000876,34
851e4bbbfffffff,5,46.3034,34.7571,0.00351,0.000574,17
852d51dbfffffff,5,44.602,41.3765,0.001086,0.001026,5
852d2b8ffffffff,5,44.2256,35.3521,0.000734,0.000375,6
852d513bfffffff,5,44.9991,42.331,0.001182,0.001169,5
852d7253fffffff,5,44.2514,37.9087,0.000924,0.000843,6
852d46d3fffffff,5,46.0086,39.3438,0.001057,0.00027,14
852d4633fffffff,5,46.4174,40.2981,0.000798,0.000297,12
852d2c2ffffffff,5,44.619,33.2988,0.003008,0.002146,6
852d509bfffffff,5,44.2212,40.4265,0.000721,0.000537,4
851e4b1bfffffff,5,46.1025,34.2586,0.002245,0.00097,17
851e4867fffffff,5,46.6448,34.1359,0.005,0.0023,17
852d7113fffffff,5,46.442,38.3253,0.003815,0.00066,29
852d7433fffffff,5,46.0918,36.3107,0.003496,0.00045,20
851e4e3bfffffff,5,47.0852,32.5968,0.005945,0.003955,10
852d2d6ffffffff,5,45.0366,34.2784,0.001898,0.001012,10
852d53bbfffffff,5,44.1659,42.3294,0.000851,0.000842,2
852d552ffffffff,5,45.3156,41.2276,0.001123,0.001035,5
851e49a7fffffff,5,47.03,36.1779,0.023942,0.003838,31
852d75a7fffffff,5,47.1524,37.1278,0.045687,0.002705,37
852d7573fffffff,5,46.4707,37.3088,0.006936,0.000753,30
852d290ffffffff,5,45.0382,35.2934,0.000984,0.000393,10
851e49dbfffffff,5,47.0995,34.6906,0.010383,0.002006,17
852d43b3fffffff,5,47.2412,42.2638,0.000281,0.000148,5
852d5067fffffff,5,44.0045,41.6546,0.00077,0.000743,2
852d2da3fffffff,5,45.6656,33.4894,0.001578,0.000896,10
851e4e6ffffffff,5,46.7115,32.414,0.007267,0.004467,10
852d76b3fffffff,5,45.2894,36.3597,0.001193,0.000528,16
852d402bfffffff,5,47.0684,41.5489,0.000453,0.000198,6
852d7467fffffff,5,45.7719,36.6927,0.002,0.000452,16
852d6677fffffff,5,47.579,36.8833,0.093566,0.011064,37
852d09a3fffffff,5,44.001,38.62,0.000719,0.000636,6
851e489bfffffff,5,47.4931,33.6065,0.003773,0.001854,17
851e4c27fffffff,5,47.8327,34.0252,0.003564,0.000553,17
852d51a7fffffff,5,45.4505,42.1236,0.001135,0.001113,5
852d4273fffffff,5,45.7841,41.7742,0.000989,0.00094,5
852d2c63fffffff,5,44.2361,33.1187,0.002282,0.00151,5
851e4d2ffffffff,5,47.5177,35.4764,0.024332,0.005842,31
852d7327fffffff,5,45.6815,39.7062,0.00089,0.00034,12
851e4d67fffffff,5,47.4363,35.1099,0.018185,0.004534,30
852d2c9bfffffff,5,44.5016,31.9262,0.000721,0.000478,4
852d42abfffffff,5,46.2335,41.5598,0.000731,0.00063,5
851e590ffffffff,5,45.2924,32.0559,0.000668,0.000464,5
851e48d3fffffff,5,47.4053,33.2392,0.003951,0.002603,17
852d2807fffffff,5,44.3678,34.2631,0.002047,0.001239,6
852d2b23fffffff,5,44.2509,36.1361,0.000701,0.000472,7
851e4ea7fffffff,5,47.4312,33.0105,0.003525,0.002415,12
852d2ddbfffffff,5,44.9328,32.9028,0.00214,0.001364,6
852d5427fffffff,5,44.6612,40.2136,0.000857,0.000581,6
852d700bfffffff,5,45.4949,37.6434,0.00144,0.000717,15
851e4a13fffffff,5,46.4038,32.8215,0.007151,0.004567,10
852d2947fffffff,5,44.7778,35.2403,0.000963,0.000435,10
852d767bfffffff,5,44.5306,36.9751,0.000966,0.000799,6
852d5567fffffff,5,45.0496,41.1643,0.001136,0.001046,5
852d502ffffffff,5,44.2697,41.7193,0.000947,0.000919,4
851e4aaffffffff,5,46.3265,33.4984,0.00485,0.003306,12
852d714bfffffff,5,45.865,38.6326,0.001359,0.000453,15
852d70a7fffffff,5,46.1493,37.6865,0.002986,0.000559,30
851e4b53fffffff,5,46.0146,33.898,0.002159,0.001266,12
852d4097fffffff,5,47.367,40.4038,0.001203,0.000549,22
852d466bfffffff,5,45.8246,40.5955,0.000857,0.000619,6
852d54c3fffffff,5,44.1879,39.1045,0.000727,0.000558,6
852d728bfffffff,5,44.6901,37.6784,0.001102,0.000928,7
852d624ffffffff,5,46.9805,38.2328,0.018432,0.001141,34
852d753bfffffff,5,46.7238,37.3692,0.013696,0.000936,34
852d28a3fffffff,5,44.6578,34.0935,0.002556,0.001679,10
851e496ffffffff,5,46.3282,35.5639,0.005384,0.00073,20
851e59abfffffff,5,45.5306,32.3241,0.000923,0.000606,6
852d73cbfffffff,5,45.0653,38.6577,0.001057,0.000746,7
852d5383fffffff,5,44.0856,41.9909,0.000829,0.000813,2
852d2d37fffffff,5,45.6122,33.9351,0.00144,0.00071,10
851e4dd3fffffff,5,48.1972,34.2174,0.002722,0.000476,21
852d2d07fffffff,5,45.3788,33.6637,0.001735,0.000834,10
852d4317fffffff,5,46.9398,42.4067,0.000323,0.000245,5
851e482ffffffff,5,46.7309,34.4993,0.006084,0.001302,17
851e597bfffffff,5,45.0527,31.789,0.00054,0.000407,5
852d2873fffffff,5,44.077,34.4314,0.001348,0.000651,6
852d750bfffffff,5,46.5041,37.0886,0.007888,0.00075,30
852d5493fffffff,5,44.6274,38.8825,0.000922,0.000709,7
852d4457fffffff,5,46.9444,39.4379,0.003034,0.000502,28
852d4207fffffff,5,46.0838,41.6317,0.000813,0.000735,5
852d7077fffffff,5,45.5713,37.9986,0.00141,0.000674,15
852d72bbfffffff,5,44.9137,37.9533,0.001155,0.000909,11
852d29b3fffffff,5,45.5004,34.8223,0.001212,0.000437,10
852d764bfffffff,5,44.3028,36.7026,0.00082,0.000673,6
852d660ffffffff,5,47.6118,36.6592,0.075063,0.00713,39
852d55d3fffffff,5,44.9915,39.859,0.000881,0.000462,6
852d469bfffffff,5,46.2652,39.4057,0.001206,0.000317,24
852d40c7fffffff,5,46.9221,40.6309,0.000744,0.000286,12
852d71b7fffffff,5,46.945,38.4523,0.013108,0.000888,34
852d5103fffffff,5,44.9173,41.9873,0.001218,0.001195,5
851e4b83fffffff,5,46.4746,34.4474,0.004153,0.001203,17
852d717bfffffff,5,46.082,38.9127,0.00141,0.000358,25
852d46d7fffffff,5,46.1183,39.4823,0.001038,0.000256,14
852d2c33fffffff,5,44.6697,32.8569,0.002301,0.001522,6
852d4243fffffff,5,45.5498,41.4993,0.001088,0.001026,5
852d5597fffffff,5,45.5006,39.9906,0.00088,0.000477,6
852d760ffffffff,5,44.822,36.8171,0.001042,0.000761,11
852d2977fffffff,5,45.0085,35.5123,0.000933,0.000333,10
851e4a43fffffff,5,46.052,32.4139,0.003157,0.00191,10
852d703bfffffff,5,45.7161,37.921,0.001576,0.000605,15
851e486bfffffff,5,46.5574,33.7729,0.005317,0.003426,17
852d7437fffffff,5,46.2037,36.4496,0.004374,0.000517,30
852d0d93fffffff,5,44.0736,36.4313,0.000672,0.000525,7
852d441bfffffff,5,47.0912,39.3599,0.004649,0.000562,31
852d2d73fffffff,5,45.091,33.8366,0.002293,0.001405,10
852d5457fffffff,5,44.115,39.5248,0.000642,0.000405,5
852d4383fffffff,5,47.005,41.9776,0.000375,0.000229,5
852d74cffffffff,5,45.6404,35.7581,0.001551,0.000273,17
852d2837fffffff,5,44.6025,34.5322,0.001743,0.000918,10
